Aktivitetstype,Dato,Favorit,Titel,Distance,Kalorier,Tid,Gennemsnitlig puls,Maks. puls,Aerob TE,Gennemsnitlig svømmekadence,Maksimum svømmekadence,Gennemsnitstempo,Bedste tempo,Samlet stigning,Samlet nedstigning,Gennemsnitlig skridtlængde,Gennemsnitligt vertikalt forhold,Gennemsnitligt vertikalt udsving,Gennemsnitlig kontakt med jorden,Gennemsnitlig GCT-balance,Gennemsnitlig NJT,Normalized Power® (NP®),Training Stress Score®,Gennemsnitlig effekt,Maksimal effekt,Samlet antal svømmetag,Gennemsnitlig swolf,Gennemsnitlig hastighed for tag,Skridt,Samlet antal sæt,Afladning af Body Battery,Minimum temperatur,Dekompression,Tid for bedste omgang,Antal omgange,Maksimum temperatur,Gns. antal åndedrag,Min. antal åndedrag,Maks. antal åndedrag,Tid i bevægelse,Tidsforbrug,Minimum højde,Maksimal højde
Svøm i pool,2025-11-01 12:19:11,false,"Svøm i pool","1,500","457","0:45","131","169","2.2","--","--","2:40","0:50","--","--","--","--","--","--","--","--","--","0.0","--","--","1093","58","27","--","--","--","--","Nej","00:00:18.3","15","--","--","--","--","00:39:58","00:45:17","--","--"
Løb,2025-11-01 10:19:32,false,"Skanderborg - Langt løb","11.18","888","1:02","159","179","3.5","165","185","5:29","4:13","92","91","1.11","10.0","11.3","266","51.5% V / 48.5% H","5:26","407","0.0","400","622","--","--","--","10,004","--","-15","--","Nej","00:06:08.5","3","--","36","18","51","01:01:12","01:01:18","35","80"
Løb,2025-10-31 15:51:00,false,"Skanderborg Løb","6.17","461","0:33","150","178","3.0","165","189","5:16","3:20","35","34","1.15","10.0","11.6","263","52.0% V / 48.0% H","5:15","425","0.0","412","664","--","--","--","5,308","--","-5","--","Nej","00:01:00.6","9","--","32","22","39","00:32:33","00:32:34","39","59"
Cykling,2025-10-30 15:30:07,false,"Aarhus Cykling","23.57","758","1:06","143","168","3.0","--","--","21.7","44.8","174","132","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-8","--","Nej","00:09:44.6","5","--","31","23","37","01:01:46","01:05:08","-5","54"
Cykling,2025-10-30 06:24:22,false,"Skanderborg Cykling","23.53","733","0:59","145","171","3.0","--","--","24.1","50.5","139","178","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-14","--","Nej","00:08:39.7","5","--","31","23","41","00:54:41","00:58:34","1","56"
Løb,2025-10-29 06:15:12,false,"Skanderborg - Restitution","5.01","376","0:31","133","159","2.2","162","188","6:10","4:49","39","52","1.00","10.7","10.9","286","51.5% V / 48.5% H","6:11","365","0.0","357","510","--","--","--","4,986","--","-7","--","Nej","00:00:03.2","2","--","29","16","41","00:30:55","00:30:55","31","58"
Cykling,2025-10-28 15:55:44,false,"Skanderborg Cykling","16.69","544","0:40","148","166","2.9","--","--","25.2","44.5","132","128","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-6","--","Nej","00:03:35.1","4","--","32","22","39","00:39:43","00:39:44","30","85"
Styrketræning,2025-10-28 15:12:06,false,"Styrke","0.00","144","0:36","96","128","0.1","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1","-2","--","Nej","00:35:50","1","--","16","11","23","00:35:50","00:35:50","--","--"
Styrketræning,2025-10-27 16:08:53,false,"Styrke","0.00","163","0:45","91","119","0.1","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1","-2","--","Nej","00:44:42","1","--","17","11","27","00:44:42","00:44:42","--","--"
Gang,2025-10-26 13:03:09,false,"Skanderborg Gang","1.94","161","0:38","92","106","0.1","57","158","19:11","9:21","28","30","0.93","--","--","--","--","--","--","0.0","--","--","--","--","--","2,674","--","-2","--","Nej","00:16:12","2","--","--","--","--","00:28:07","00:38:09","44","57"
Løb,2025-10-25 09:00:23,false,"Horsens - 6 Timer På Fængslet","57.17","4,509","6:01","161","179","5.0","155","240","6:18","4:35","416","414","1.03","10.0","10.4","305","51.0% V / 49.0% H","6:14","375","0.0","345","575","--","--","--","55,016","--","-37","--","Nej","00:15:57","12","--","36","25","50","05:51:40","06:00:01","19","32"
Løb,2025-10-23 06:17:52,false,"Skanderborg - Basis","6.07","483","0:35","153","169","2.9","166","176","5:38","4:41","40","38","1.07","10.3","11.3","265","51.6% V / 48.4% H","5:36","392","0.0","390","471","--","--","--","5,640","--","-10","--","Nej","00:06:00.6","2","--","35","28","42","00:34:13","00:34:13","40","69"
Svøm i pool,2025-10-22 19:09:41,false,"Svøm i pool","2,050","583","0:59","133","152","2.2","--","--","2:38","0:56","--","--","--","--","--","--","--","--","--","0.0","--","--","1362","56","25","--","--","--","--","Nej","00:00:05.2","18","--","--","--","--","00:54:06","00:59:15","--","--"
Løb,2025-10-21 15:15:24,false,"Aarhus - Basis","11.01","860","1:03","152","175","3.3","165","181","5:39","4:27","35","30","1.07","10.5","11.4","266","51.9% V / 48.1% H","5:39","400","0.0","392","559","--","--","--","10,214","--","-11","--","Nej","00:00:55.5","4","--","32","21","42","01:02:17","01:02:17","-3","5"
Løb,2025-10-19 10:04:42,false,"Skanderborg Løb","15.05","1,193","1:18","166","181","4.3","166","203","5:10","3:30","160","156","1.17","9.9","11.8","255","51.9% V / 48.1% H","5:05","444","0.0","436","589","--","--","--","12,758","--","-17","--","Nej","00:00:19.3","4","--","38","23","46","01:17:15","01:17:38","42","64"
Løb,2025-10-18 08:55:16,false,"Skanderborg - Basis","10.03","774","0:52","161","185","3.7","167","195","5:07","3:23","60","52","1.17","9.9","11.7","258","51.5% V / 48.5% H","5:05","433","0.0","426","589","--","--","--","8,496","--","-11","--","Nej","00:03:16.7","3","--","38","19","50","00:51:15","00:51:17","34","70"
Cykling,2025-10-17 13:25:51,false,"Aarhus Cykling","23.67","850","1:07","149","171","3.2","--","--","21.4","43.2","198","149","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-9","--","Nej","00:09:37.3","5","--","31","23","38","01:01:23","01:06:14","-6","58"
Cykling,2025-10-17 06:14:04,false,"Skanderborg Cykling","23.45","742","0:56","147","164","3.1","--","--","25.5","55.5","126","163","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","--","-14","--","Nej","00:07:39.4","5","--","31","22","38","00:52:28","00:55:13","1","56"
Løb,2025-10-16 18:54:17,false,"Skanderborg - Restitution","5.11","402","0:32","146","162","2.3","162","192","6:07","4:04","31","27","1.01","10.7","10.9","281","51.6% V / 48.4% H","6:08","368","0.0","364","538","--","--","--","5,036","--","-5","--","Nej","00:00:28.3","2","--","28","20","39","00:31:16","00:31:17","41","64"
Løb,2025-10-16 06:25:36,false,"Skanderborg - Basis","6.51","497","0:35","152","173","3.0","168","179","5:18","3:58","25","20","1.13","9.9","11.4","257","51.7% V / 48.3% H","5:17","422","0.0","416","574","--","--","--","5,750","--","-9","--","Nej","00:07:19.6","2","--","32","17","41","00:34:30","00:34:30","42","59"
Løb,2025-10-15 16:00:07,false,"Skanderborg - Basis","6.52","510","0:35","157","170","3.1","166","175","5:20","4:38","35","25","1.13","10.1","11.6","260","51.8% V / 48.2% H","5:18","427","0.0","423","556","--","--","--","5,732","--","-5","--","Nej","00:08:06.9","2","--","34","13","44","00:34:43","00:34:44","39","54"
Løb,2025-10-14 15:03:52,false,"Skanderborg - Basis","11.02","869","1:03","155","170","3.3","164","192","5:38","3:51","109","109","1.08","10.1","11.2","276","51.7% V / 48.3% H","5:35","395","0.0","389","599","--","--","--","10,126","--","-10","--","Nej","00:05:26.5","3","--","34","14","46","01:02:04","01:02:05","25","70"
Styrketræning,2025-10-14 06:14:36,false,"Styrke","0.00","205","0:50","94","129","0.2","--","--","--","--","--","--","--","--","--","--","--","--","--","0.0","--","--","--","--","--","--","1","-5","--","Nej","00:49:48","1","--","18","12","26","00:49:48","00:49:48","--","--"
